,Note that Apple returns only start in 1981!,,,,,,,,,
,,,,,,,,,,
,,,CAPM factor,incl. in FF3,incl. in FF3,incl. in FF5,incl. in FF5,,,
Month,AAPL return,RF,Mkt-RF,SMB,HML,RMW,CMA,,,
198101,-17.00,1.04,-5.04,3.37,6.84,-3.44,4.35,,,
198102,-6.17,1.07,0.56,-0.48,0.97,0.13,2.26,,,
198103,-7.51,1.21,3.56,3.07,0.67,-2.16,-0.53,,,
198104,15.74,1.08,-2.1,4.6,2.26,0.92,1.21,,,
198105,16.45,1.15,0.11,2.45,-0.43,0.31,-1.6,,,
198106,-21.47,1.35,-2.36,-0.97,5.13,-1.41,2.68,,,
198107,-3.84,1.24,-1.54,-1.99,-0.65,1.06,-3.04,,,
198108,-19.45,1.28,-7.03,-1.82,4.83,-0.21,1.46,,,
198109,-24.15,1.24,-7.17,-2.51,5.19,-0.07,2.79,,,
198110,31.02,1.21,4.92,2.25,-4.22,3.35,-2.76,,,
198111,-6.85,1.07,3.36,-1.37,1.9,0.16,0.63,,,
198112,18.73,0.87,-3.65,1.19,0.74,0.3,2.41,,,
198201,-7.89,0.8,-3.24,-1.19,3.14,-1.61,2.08,,,
198202,-10.40,0.92,-5.86,0.35,6.08,-3.44,4.57,,,
198203,-7.51,0.98,-1.87,-0.01,3.78,-1.47,2.37,,,
198204,-12.55,1.13,3.27,1.17,-2.8,1.62,-0.15,,,
198205,-5.06,1.06,-3.99,0.55,1.82,0.76,-0.09,,,
198206,-8.89,0.96,-3.09,-0.53,1.52,-0.11,2.72,,,
198207,5.85,1.05,-3.19,0.95,0.16,1.11,1.54,,,
198208,33.18,0.76,11.14,-4.29,1.16,-1.9,0.18,,,
198209,1.38,0.51,1.29,2.58,0.34,2.13,-0.04,,,
198210,38.57,0.59,11.3,1.91,-3.68,0.47,-0.37,,,
198211,25.62,0.63,4.67,4.5,-1.96,-0.74,0.32,,,
198212,-6.27,0.67,0.55,0,0.01,-0.14,1.03,,,
198301,36.82,0.69,3.6,3.28,-0.86,-1.41,-0.46,,,
198302,11.62,0.62,2.59,2.91,0.67,-0.65,1.02,,,
198303,-7.40,0.63,2.82,1.42,2.07,-0.01,2.82,,,
198304,19.53,0.71,6.67,0.48,0.6,-0.19,1.59,,,
198305,14.36,0.69,0.52,6.22,-1.4,-1.89,-1.53,,,
198306,-15.37,0.67,3.07,1.16,-3.86,2.28,-0.91,,,
198307,-28.64,0.74,-4.07,0.97,5.62,-0.11,2.84,,,
198308,6.81,0.76,-0.5,-4.32,5.54,0.51,1.94,,,
198309,-37.92,0.76,0.92,0.24,1.1,1.15,0.6,,,
198310,-2.16,0.76,-3.44,-3.82,5.06,-0.73,2.96,,,
198311,-9.94,0.7,2.16,1.88,-0.61,-0.6,0.65,,,
198312,19.63,0.73,-1.78,-0.48,1.68,1.48,1.22,,,
198401,1.54,0.76,-1.92,-0.07,7.62,-1,3,,,
198402,6.06,0.71,-4.82,-1.61,3.35,0.85,1.55,,,
198403,-5.71,0.73,0.63,-0.29,0.49,-0.89,1.09,,,
198404,26.77,0.81,-0.52,-1.02,1.29,3.29,0.75,,,
198405,-6.37,0.78,-5.97,0.12,0.24,2.29,-0.5,,,
198406,-9.79,0.75,1.82,0.08,-2.61,3.06,-1.5,,,
198407,-3.77,0.82,-2.74,-2.23,0.49,3.71,-2.17,,,
198408,3.92,0.83,10.28,-0.31,-1.84,-0.87,-0.83,,,
198409,-5.19,0.86,-0.8,0,5.32,1.47,2.53,,,
198410,-1.00,1,-0.84,-1.44,0.5,1.25,-1.16,,,
198411,-0.50,0.73,-1.76,-0.99,4.08,0.89,2.08,,,
198412,17.68,0.64,1.84,-0.69,-0.17,1.23,-1.27,,,
198501,-0.43,0.65,7.99,3.5,-5.43,-0.89,-3.35,,,
198502,-14.66,0.58,1.22,0.99,-0.12,1.38,1.04,,,
198503,-10.61,0.62,-0.84,-1.5,4.1,1.23,2.93,,,
198504,-3.95,0.72,-0.96,-0.1,3.73,1.54,0.72,,,
198505,-18.24,0.66,5.09,-2.34,-0.87,1.31,-1.39,,,
198506,3.60,0.55,1.27,0.43,0.62,1.56,-0.59,,,
198507,-11.81,0.62,-0.74,2.9,-1.63,-0.55,-0.3,,,
198508,-5.51,0.55,-1.02,-0.32,2.28,0.05,1.89,,,
198509,5.00,0.6,-4.54,-1.82,1.32,1.2,1.61,,,
198510,18.25,0.65,4.02,-1.55,0.78,0.77,-1.11,,,
198511,8.05,0.61,6.48,0,-2.87,0.35,-2.33,,,
198512,9.32,0.65,3.88,-0.4,-1.53,0.85,-1.81,,,
198601,5.11,0.56,0.65,1.01,0.53,-1.99,-2.05,,,
198602,8.11,0.53,7.13,-0.75,-0.94,1.1,-1.39,,,
198603,13.00,0.6,4.88,-0.56,-0.44,1.31,0.98,,,
198604,7.08,0.52,-1.31,2.93,-2.85,2.99,0.03,,,
198605,22.31,0.49,4.62,-1.26,-0.11,2.05,1.11,,,
198606,-3.04,0.52,1.03,-0.87,1.4,1.78,0.88,,,
198607,-12.89,0.52,-6.45,-3.56,4.78,-0.75,0.61,,,
198608,18.40,0.46,6.07,-4.35,3.52,-1.6,3.24,,,
198609,-9.46,0.45,-8.6,1.96,3.19,-0.11,3.62,,,
198610,3.36,0.46,4.66,-2.33,-1.32,0.18,0.89,,,
198611,15.52,0.39,1.17,-1.88,-0.06,1.1,0.61,,,
198612,1.25,0.49,-3.27,0.08,0.37,0.99,-0.03,,,
198701,37.04,0.42,12.47,-1.51,-3.18,0.24,-1.08,,,
198702,26.13,0.43,4.39,3.41,-5.99,-0.78,-2.76,,,
198703,-7.86,0.47,1.64,0.21,1.65,1.3,4.04,,,
198704,22.87,0.44,-2.11,-1.55,-0.33,-0.47,1.22,,,
198705,-0.16,0.38,0.11,-0.58,0.13,0.66,1.32,,,
198706,2.53,0.48,3.94,-2.29,1.07,1.8,0.83,,,
198707,1.85,0.46,3.85,-1.09,0.73,-0.39,1.6,,,
198708,31.05,0.47,3.52,-0.9,-0.95,1.96,-1.63,,,
198709,4.63,0.45,-2.59,0.38,0.29,-0.97,1.86,,,
198710,-31.64,0.6,-23.24,-8.13,4.2,1.73,2.3,,,
198711,-14.36,0.35,-7.77,2.85,3.09,-2.06,0.69,,,
198712,27.27,0.39,6.81,0.07,-4.46,3.03,-2.44,,,
198801,-1.19,0.29,4.21,-0.55,5.16,-1.08,2.13,,,
198802,3.81,0.46,4.75,3.33,-1.64,1.88,-0.07,,,
198803,-6.98,0.44,-2.27,6.25,0.75,-0.28,1.86,,,
198804,2.50,0.46,0.56,1.12,1.68,-0.2,1.89,,,
198805,1.41,0.51,-0.29,-2.6,2.28,-0.76,0.34,,,
198806,11.45,0.49,4.79,2.2,-1.1,1.49,-3.32,,,
198807,-4.05,0.51,-1.25,-0.17,2.27,-0.65,1.47,,,
198808,-9.96,0.59,-3.31,-0.01,2.03,-0.74,1.76,,,
198809,8.46,0.62,3.3,-1.3,-0.68,1.73,-0.48,,,
198810,-10.69,0.61,1.15,-2.95,1.71,1.43,1.05,,,
198811,-2.33,0.57,-2.29,-1.67,1.24,-0.32,1.58,,,
198812,6.98,0.63,1.49,2,-1.56,0.67,-0.37,,,
198901,-6.21,0.55,6.1,-2.22,0.51,-0.91,0.17,,,
198902,-3.71,0.61,-2.25,2.66,0.88,-0.76,1.87,,,
198903,-1.72,0.67,1.57,0.75,0.47,0,0.75,,,
198904,9.47,0.67,4.33,-0.69,-1.46,0.76,-0.52,,,
198905,22.69,0.79,3.35,0,-0.83,0.43,-0.02,,,
198906,-13.61,0.71,-1.35,-1.09,2.19,0.13,1.5,,,
198907,-3.64,0.7,7.2,-4.06,-2.83,1.91,-0.63,,,
198908,12.20,0.74,1.44,0.44,0.72,0.47,-0.5,,,
198909,0.00,0.65,-0.76,0.46,-1.34,1.21,0.59,,,
198910,4.49,0.68,-3.67,-3.32,-1.03,0.07,0.03,,,
198911,-4.60,0.69,1.03,-1.32,-1.12,-1,1.47,,,
198912,-20.34,0.61,1.16,-2.31,0.28,-0.16,1.44,,,
199001,-3.55,0.57,-7.85,-1.37,0.87,-1.39,1.32,,,
199002,0.32,0.57,1.11,1.17,0.61,-0.2,-0.64,,,
199003,18.38,0.64,1.83,1.63,-2.9,2.13,-1.03,,,
199004,-2.17,0.69,-3.36,-0.42,-2.55,1.59,-0.98,,,
199005,5.04,0.68,8.42,-2.38,-3.74,1.78,-1.57,,,
199006,8.48,0.63,-1.09,1.37,-1.94,-1.22,-0.34,,,
199007,-6.15,0.68,-1.9,-3.29,-0.02,-0.44,3.09,,,
199008,-11.64,0.66,-10.15,-3.88,1.59,-0.45,2.99,,,
199009,-21.62,0.6,-6.12,-3.77,0.73,0.01,3.71,,,
199010,6.03,0.68,-1.92,-5.1,0.25,2.92,-0.47,,,
199011,19.90,0.57,6.35,-0.05,-3.16,0.81,-4.74,,,
199012,17.01,0.6,2.46,0.65,-1.56,2.91,-2.03,,,
199101,29.07,0.52,4.69,3.89,-1.85,1.47,-4.09,,,
199102,3.37,0.48,7.19,3.93,-0.53,-0.3,-0.15,,,
199103,18.78,0.44,2.65,3.84,-1.24,-0.36,-1,,,
199104,-19.12,0.53,-0.28,0.35,1.41,0.64,0.7,,,
199105,-14.33,0.47,3.65,0.17,-0.57,2.17,-2.45,,,
199106,-11.70,0.42,-4.94,0.15,1.22,1.59,0.63,,,
199107,11.45,0.49,4.24,-0.95,-1.26,1.45,-1.41,,,
199108,14.85,0.46,2.32,1.48,-0.79,0.93,-0.56,,,
199109,-6.60,0.46,-1.59,1.55,-1,-1.79,0.16,,,
199110,4.04,0.42,1.29,0.9,-0.44,-1.9,-0.3,,,
199111,-1.22,0.39,-4.19,-0.88,-1.93,0.91,0.12,,,
199112,11.08,0.38,10.84,-2.39,-4.04,3.82,-3.13,,,
199201,14.86,0.34,-0.59,9.25,4.53,-1.34,3.17,,,
199202,4.43,0.28,1.09,1.38,6.37,0.28,2.04,,,
199203,-13.70,0.34,-2.66,-0.91,3.65,-0.13,1.94,,,
199204,3.22,0.32,1.07,-5.73,4.3,1.74,2.21,,,
199205,-0.62,0.28,0.3,0.21,1.27,-1.02,0.42,,,
199206,-19.46,0.32,-2.34,-2.71,3.41,-0.06,1.07,,,
199207,-2.60,0.31,3.77,-0.65,-0.53,1.27,-0.71,,,
199208,-1.35,0.26,-2.38,-0.41,-1.04,3.79,-1.6,,,
199209,-1.90,0.26,1.19,0.5,-0.21,1.67,-0.5,,,
199210,16.34,0.23,1.02,2.03,-2.1,1.35,-0.81,,,
199211,9.75,0.23,4.13,3.93,-1.48,-0.79,-1.92,,,
199212,3.91,0.28,1.53,1.64,2.52,-0.53,0.75,,,
199301,-0.42,0.23,0.93,2.1,5.87,-1.63,2.78,,,
199302,-10.72,0.22,0.12,-3.45,6.42,-0.4,4.05,,,
199303,-2.83,0.25,2.3,0.04,1.22,-0.34,0.92,,,
199304,-0.49,0.24,-3.05,-0.88,2.61,-3.57,1.52,,,
199305,10.72,0.22,2.89,1.9,-3.41,-0.05,-1.17,,,
199306,-30.24,0.25,0.31,0.12,2.61,-0.87,1.1,,,
199307,-29.75,0.24,-0.34,0.9,3.24,-2.14,2.02,,,
199308,-4.07,0.25,3.71,0.26,-0.45,-1.1,-0.03,,,
199309,-11.79,0.26,-0.12,3.06,-0.45,0.69,-0.09,,,
199310,31.55,0.22,1.41,1.6,-1.54,-0.06,0.6,,,
199311,2.83,0.25,-1.89,-1.42,-0.27,1.73,-0.96,,,
199312,-7.14,0.23,1.65,1.37,0.57,0.79,-0.3,,,
199401,11.97,0.25,2.87,-0.15,2.09,-2.31,1.47,,,
199402,11.82,0.21,-2.55,2.65,-1.44,2.52,-1.05,,,
199403,-8.90,0.27,-4.78,-1.03,1.31,0.61,1.25,,,
199404,-9.77,0.27,0.68,-1.06,1.68,0.89,1.12,,,
199405,-2.10,0.31,0.58,-2.45,0.2,0.89,0.72,,,
199406,-9.40,0.31,-3.03,-0.52,1.68,1.08,1.49,,,
